word,machine,human,label,emotion_intensity_score
intruder,onye mwakpo,onye mwakpo,fear,0.828
dismissal,mgbasa,mgbasa,anger,0.312
nurture,ịzụlite,ịzụlite,anger,0.059
hopeless,enweghị olileanya,enweghị olileanya,fear,0.688
sedition,ịgba ọchịchị mgba okpuru,ịgba ọchịchị mgba okpuru,sadness,0.469
wearily,na -agwụ ike,na -agwụ ike,sadness,0.281
cuddle,itu ukwu,mmakụ,joy,0.636
proven,gosiputara,gosiputara,trust,0.742
inspiration,n'ike mmụọ nsọ,n'ike mmụọ nsọ,joy,0.725
unconditionally,na -enweghị ntụpọ,na -enweghị ntụpọ,trust,0.648
dreams,nrọ,nrọ,joy,0.559
composure,obi iru ala,mkpakọta ọnụ,fear,0.172
deadly,na -egbu egbu,na -egbu egbu,fear,0.875
peaceful,n'udo,n'udo,anticipation,0.422
blanket,blanketị,blanketị,trust,0.43
overcast,jubiga ókè,jubiga ókè,sadness,0.375
escaped,gbapụrụ,gbapụrụ,fear,0.375
weary,ike gwụrụ,ike gwụrụ,sadness,0.5
approvement,nkwenye,nkwenye,trust,0.617
distracting,na -adọpụ uche,na -adọpụ uche,anger,0.182
arraignment,nchụpụ,nchụpụ,sadness,0.359
somethingigetalot,ihe dịpụrụ adịpụ,ihe dịpụrụ adịpụ,anger,0.219
episcopal,bishọp,bishọp,trust,0.477
butcher,onye na-egbu anụ,onye na-egbu anụ,anger,0.578
volcano,ugwu mgbawa,ugwu mgbawa,surprise,0.664
scarce,ụkọ,ụkọ,sadness,0.422
upheaval,ọgba aghara,ọgba aghara,anger,0.484
winner,onye mmeri,onye mmeri,anticipation,0.602
conflict,esemokwu,esemokwu,anger,0.578
dismay,obi nkoropụ,obi nkoropụ,fear,0.484
gentle,dị nwayọọ,dị nwayọọ,joy,0.485
watch,lee,lee,anticipation,0.523
discriminate,ikpa oke,ikpa oke,sadness,0.453
mum,nne,nne,fear,0.07
wreck,mkpọka,mkpọka,anger,0.578
gratuitous,enweghị afọ ojuju,enweghị afọ ojuju,disgust,0.242
wreak,mebie,igwụ egwu,anger,0.672
amazingly,di itunanya,di itunanya,surprise,0.648
ready,dị njikere,dị njikere,anticipation,0.5
betray,arara nye,arara nye,sadness,0.594
accompaniment,nkwado,nkwado,trust,0.531
amour,amour,ngwa agha,joy,0.607
trepidation,ujo,ụjọ,surprise,0.43
deform,nkwarụ,nkwarụ,disgust,0.609
dictatorship,ọchịchị aka ike,ọchịchị aka ike,anticipation,0.234
destroyer,onye mbibi,onye mbibi,fear,0.75
advice,ndụmọdụ,ndụmọdụ,trust,0.617
bomb,bombu,bọmbụ,anger,0.766
happynewyear,ezi afọ ọhụrụ,ezi afọ ọhụrụ,joy,0.656
compact,kọmpat,kọmpat,trust,0.43
regrettable,na -akwa ụta,na -akwa ụta,sadness,0.509
prophecy,amụma,amụma,anticipation,0.742
myopia,myopia,nsogbu,sadness,0.339
buddy,enyi,enyi,joy,0.427
shriek,iti mkpu,iti mkpu,sadness,0.485
commemorate,na -echeta,na -echeta,sadness,0.125
groan,na -asụ ude,na -asụ ude,disgust,0.32
safeguard,chebe,chebe,trust,0.75
pharmacy,ahịa ọgwụ,ahịa ọgwụ,fear,0.123
teeming,na -agwụ ike,na -agwụ ike,disgust,0.383
contagion,na -efe efe,na -efe efe,anticipation,0.484
terrified,ụjọ,ụjọ,fear,0.906
sun,anyanwụ,anyanwụ,trust,0.438
bottomless,enweghi ike,enweghi ike,fear,0.359
vulture,udele,udele,fear,0.41
assignee,onye nhọpụta,onye nhọpụta,trust,0.422
sanctuary,ebe nsọ,ebe nsọ,anticipation,0.461
climax,njedebe,njedebe,anticipation,0.742
ill,na -arịa ọrịa,na -arịa ọrịa,anger,0.333
forcibly,n'ike,n'ike,anger,0.591
antidote,ihe ngwọta,ihe ngwọta,anticipation,0.391
grope,na -asọ asọ,na -asọ asọ,anger,0.576
default,ndabara,ndabara,sadness,0.121
threaten,egwu,iyi egwu,anger,0.818
deceit,aghụghọ,aghụghọ,anger,0.484
majesty,ebube,ebube,trust,0.5
slop,slop,ikwafu,disgust,0.641
excitation,mkpali,mkpali,anticipation,0.703
obstacle,ihe mgbochi,ihe mgbochi,fear,0.344
outcry,mkpu ákwá,mkpu ákwá,fear,0.547
inappropriate,ekwesighi,ekwesighi,anger,0.324
oppression,mmegbu,mmegbu,fear,0.688
equality,nha anya,nha anya,trust,0.727
reverie,egwu,egwu,joy,0.636
weakly,adịghị ike,adịghị ike,sadness,0.544
changeable,na -agbanwe agbanwe,na -agbanwe agbanwe,anticipation,0.547
schizophrenia,isi mgbaka,isi mgbaka,sadness,0.625
kudos,ekele,ekele,trust,0.414
hospice,ụlọ ọgwụ,ụlọ ndị ogbenye,sadness,0.688
bear,anụ ọhịa bea,anụ ọhịa bea,fear,0.524
encouraged,agba ume,agba ume,joy,0.656
fulfillment,mmezu,mmezu,anticipation,0.602
cap,okpu,okpu,trust,0.32
bellows,mgbada,mkpu,anger,0.562
detest,ihe arụ,ihe arụ,disgust,0.68
annihilation,mkpochapu,mkpochapu,fear,0.875
secular,ego,ego,anticipation,0.328
avalanche,nnukwu mmiri ozuzo,nnukwu mmiri ozuzo,fear,0.703
recession,nlaazu,nlaazu,disgust,0.492
creature,ihe okike,ihe okike,fear,0.34
clashing,na -atụkọta ọnụ,na -atụkọta ọnụ,fear,0.578
mobile,mkpanaka,mkpanaka,anticipation,0.344
honest,eziokwu,eziokwu,sadness,0.062
isolation,nnọpụ iche,nnọpụ iche,sadness,0.703
wart,wart,wat,disgust,0.695
adversary,onye mmegide,onye mmegide,anger,0.545
backwater,azu mmiri,azu mmiri,sadness,0.255
prevalent,juru ebe niile,juru ebe niile,trust,0.547
cloak,mkpuchi,mkpuchi,fear,0.266
bitterness,ilu,ilu,sadness,0.578
achievement,mmezu,mmezu,joy,0.712
leukemia,leukemia,ọrịa ọbara,sadness,0.797
discipline,ịdọ aka ná ntị,ịdọ aka ná ntị,fear,0.344
melancholic,melancholic,ekwughị oke okwu,sadness,0.591
luscious,mara mma,mara mma,anticipation,0.43
uneasiness,obi erughị ala,obi erughị ala,sadness,0.469
beliebers,ndị okwukwe,ndị okwukwe,trust,0.227
makingdisciples,na -eme ndị na -eso ụzọ,na -eme ndị na -eso ụzọ,joy,0.136
yelp,mkpu,mkpu,surprise,0.516
missingyou,na-atụ uche gị,na-atụ uche gị,sadness,0.672
annoying,na -akpasu iwe,na -akpasu iwe,anger,0.47
dismal,dị njọ,dị njọ,disgust,0.477
shackle,nkpa olu,nkpa olu,fear,0.609
madness,ara,ara,anger,0.491
influential,na -emetụta,na -emetụta,trust,0.555
bigot,onye isi ike,onye isi ike,anger,0.603
concealed,zoro ezo,zoro ezo,fear,0.438
reverence,nsọpụrụ,nsọpụrụ,trust,0.703
instinctive,mmuo,mmuo,fear,0.234
pneumonia,ọrịa oyi,ọrịa oyi,fear,0.625
crucifixion,n'obe,n'obe,fear,0.891
abandonment,nhapụ,nhapụ,sadness,0.859
pig,ezi,ezi,disgust,0.539
incite,kpalie,kpalie,anger,0.469
frighten,itu egwu,itu egwu,fear,0.828
curse,ọbụbụ ọnụ,ọbụbụ ọnụ,anger,0.688
incarceration,mkporo,mkpọrọ,fear,0.625
referee,refirii,refirii,trust,0.484
gambler,onye na -agba chaa chaa,onye na -agba chaa chaa,surprise,0.406
pillage,ịkwakọrọ ihe,ịkwakọrọ ihe,disgust,0.547
orgasm,orgasm,na-abịa na njedebe,anticipation,0.664
sortie,dị iche,dị iche,fear,0.359
justthebeginning,na -amalite,na -amalite,anger,0.152
blunder,ihie,ihie,sadness,0.219
renounce,jụ,jụ,anger,0.484
apostolic,onye ozi,onye ozi,trust,0.562
repugnance,asị,asị,disgust,0.766
demon,mmụọ ọjọọ,mmụọ ọjọọ,disgust,0.742
amazedness,ihe ijuanya,ihe ijuanya,surprise,0.719
paranoia,mkparị,mkparị,fear,0.594
matrimony,alụmdi na nwunye,alụmdi na nwunye,trust,0.648
getyourown,nweta onwe gị,nweta nke gị,anger,0.297
responsive,na -anabata,na -anabata,trust,0.539
trophy,iko,iko,trust,0.406
advocacy,nkwado,nkwado,trust,0.68
grant,nye,nye,joy,0.366
infarct,infarct,ihe nwụrụ anwụ,surprise,0.492
hope,olile anya,olile anya,joy,0.586
swim,igwu mmiri,igwu mmiri,anticipation,0.5
wonderfully,ebube,ebube,joy,0.844
unhelpful,enyeghi aka,enyeghi aka,anger,0.219
murderer,ogbu mmadu,ogbu mmadu,fear,0.953
painful,na -egbu mgbu,na -egbu mgbu,fear,0.844
unpaid,akwụghị ụgwọ,akwụghị ụgwọ,anger,0.203
mockery,ịkwa emo,ịkwa emo,disgust,0.477
alliance,mmekorita,mmekọrita,joy,0.368
plunder,kwakọrọ ihe,kwakọrọ ihe,anger,0.469
frantic,na -atụ ụjọ,na -atụ ụjọ,disgust,0.266
thrash,thrash,egbukpọ,fear,0.562
positivity,positivity,kedimma,trust,0.625
gardens,ubi,ubi,joy,0.219
mosquito,anwụnta,anwụnta,disgust,0.445
frown,iwe iwe,iwe iwe,sadness,0.453
heartworm,heartworm,hatwọmụ,disgust,0.688
devilish,ekwensu,ekwensu,disgust,0.625
attacking,na -awakpo,na -awakpo,anger,0.865
malevolent,na -eme ihe ọjọọ,na -eme ihe ọjọọ,fear,0.703
traumatic,traumatic,ụjọ,anger,0.402
dissident,ekweghị ekwe,ekweghị ekwe,anger,0.485
insufferable,enweghi ike ime,enweghi ike ime,disgust,0.555
contaminated,mmeru,mmeru,fear,0.61
decay,ire ure,ire ure,sadness,0.482
slippery,na -amị amị,na -amị amị,fear,0.181
medical,ọgwụ,ọgwụ,trust,0.508
arrogant,mpako,mpako,anger,0.461
foresight,amuma ihe,amuma ihe,trust,0.555
suspected,enyo enyo,enyo enyo,fear,0.375
constrain,nsogbu,nsogbu,fear,0.358
wholesome,mma,mma,trust,0.742
smash,gbajie,imebisi,anger,0.758
gone,pụọ,pụọ,sadness,0.453
confine,igbochi,igbochi,anger,0.547
lush,lush,egbu egbu,disgust,0.188
disaster,ọdachi,ọdachi,disgust,0.508
badge,baajị,baajị,trust,0.5
labored,rụọ ọrụ,rụọ ọrụ,sadness,0.25
disparity,ndiiche,ndiiche,sadness,0.531
weird,dị egwu,dị egwu,disgust,0.266
caricature,caricature,mkparị,fear,0.141
coronation,echichi,echichi,trust,0.523
christmassy,christmassy,ekeresimesi,joy,0.779
weekend,ngwụsị izu,ngwụsị izu,joy,0.441
worship,ofufe,ofufe,joy,0.379
disgraced,ihere,ihere,sadness,0.734
unsuspecting,enweghị atụmanya,enweghị atụmanya,surprise,0.648
delusion,aghụghọ,aghụghọ,fear,0.422
censor,ihe nchoputa,ihe nchọpụta,anger,0.424
inclusion,Nsonye,Nsonye,trust,0.555
abundance,ụba,ụba,trust,0.57
malicious,obi ojoo,obi ọjọọ,anger,0.859
cruelly,obi ọjọọ,obi ọjọọ,anger,0.672
diatribe,diatribe,ịjụ ihe,anger,0.606
hydra,osisi,osisi,fear,0.422
sue,gbaa akwụkwọ,gbaa akwụkwọ,sadness,0.318
trophy,iko,iko,surprise,0.234
tabulate,tabulate,ịdị na teebulu,anticipation,0.43
flea,ahuhu,fli,disgust,0.578
cursed,bụrụ ọnụ,bụrụ ọnụ,anger,0.574
thankful,na -ekele,na -ekele,joy,0.727
prejudicial,ajọ mbunobi,ajọ mbunobi,anger,0.531
bounty,mmasi,mmasi,joy,0.485
lawsuit,ikpe,ikpe,disgust,0.336
scar,iberibe,apa,disgust,0.461
repellant,onye nchighari,onye nchighari,disgust,0.539
sun,anyanwụ,anyanwụ,joy,0.266
rob,izu ohi,izu ohi,fear,0.609
revoke,kagbuo,kagbuo,sadness,0.281
depraved,rụrụ arụ,rụrụ arụ,anger,0.591
blame,taa ụta,taa ụta,anger,0.484
herpes,herpes,virọsụ,disgust,0.789
emergency,ihe mberede,ihe mberede,sadness,0.641
sump,sump,sọmpụ,disgust,0.516
evanescence,evanescence,ịpụ,surprise,0.453
mausoleum,mausoleum,ụlọ,sadness,0.63
retarded,ala azụ,ala azụ,anger,0.364
vow,nkwa,nkwa,anticipation,0.484
believer,onye kwere ekwe,onye kwere ekwe,trust,0.617
musical,egwu,egwu,sadness,0.045
competition,asọmpi,asọmpi,fear,0.172
tussle,ọgba aghara,ọgba aghara,anger,0.514
restriction,mgbochi,mgbochi,anger,0.359
respite,ezumike,ezumike,joy,0.324
candid,eziokwu,eziokwu,surprise,0.281
harlot,akwụna,akwụna,disgust,0.562
excluded,ewepu,ewepu,sadness,0.609
venomous,nsi,nsi,anger,0.818
alerts,alerts,ijiere,anticipation,0.609
indefensible,na -enweghị ike ime,na -enweghị ike ime,fear,0.484
carcass,ozu,ozu,sadness,0.653
disturbance,nsogbu,nsogbu,fear,0.459
bang,mkpu,mkpu,fear,0.652
ohshit,Oo chi m akpọọ m ọkụ,Oo chi m akpọọ m ọkụ,fear,0.766
shame,ihere,ihere,sadness,0.594
soulless,enweghị mkpụrụ obi,enweghị mkpụrụ obi,sadness,0.623
derogation,nlelị,nlelị,disgust,0.523
egregious,dị egwu,mkpokọta,anger,0.672
lynch,gbuo,gbuo,disgust,0.766
joyful,na -afulụrị ọ .ụ,obi ụtọ,joy,0.879
inexcusable,enweghị mgbaghara,enweghị mgbaghara,sadness,0.379
distrust,enweghị ntụkwasị obi,enweghị ntụkwasị obi,disgust,0.336
shaky,na -ama jijiji,na -ama jijiji,fear,0.344
garish,garish,ọnụ ala,disgust,0.445
fenced,gbara ogige,gbara ogige,anger,0.242
mother,nne,nne,trust,0.703
premeditated,buru ụzọ mee atụmatụ,buru ụzọ mee atụmatụ,fear,0.5
asteroid,asteroid,astọrọịd,fear,0.469
empty,efu,efu,sadness,0.364
concord,nkwekọrịta,nkwekọrịta,trust,0.484
finally,n'ikpeazụ,n'ikpeazụ,joy,0.157
shopkeeper,onye na -ere ahịa,onye na -ere ahịa,trust,0.422
commodore,kọmodore,kọmodore,trust,0.414
jobinterview,jobinterview,ọrụ,fear,0.25
despise,nleda anya,nleda anya,anger,0.75
pry,mkpisi,itinye anya n'ihe onye ọzọ,trust,0.195
threatening,egwu,iyi egwu,anger,0.882
beastly,anụ ọhịa,anụ ọhịa,disgust,0.555
analyst,onye nyocha,onye nyocha,anticipation,0.312
thorny,ogwu,ogwu,fear,0.312
lovemaking,ịhụnanya,ịhụnanya,trust,0.562
opium,opium,opyọm,sadness,0.303
misconduct,omume ọjọọ,omume ọjọọ,disgust,0.375
undisclosed,ekwuputaghi,ekwuputaghi,anticipation,0.5
rebel,onye nnupu isi,onye nnupu isi,anger,0.547
consul,onye onyenku,onye onyenku,trust,0.477
anaconda,anaconda,nnukwu agwọ,disgust,0.383
cleave,rapara,rapara,fear,0.391
laugh,ochi,ochi,joy,0.891
gonorrhea,gonorrhea,gonorịa,fear,0.547
ambush,n ambru nbì,n ambru nbì,surprise,0.883
differential,iche,iche,trust,0.43
punished,tara ahụhụ,tara ahụhụ,anticipation,0.406
shackle,nkpa olu,nkpa olu,disgust,0.5
manicure,ịkpụcha mbọ aka,ịkpụcha mbọ aka,joy,0.344
intolerant,anagideghi ihe,anagideghi ihe,sadness,0.5
ambassador,onye nnochite anya,onye nnochite anya,trust,0.664
deterioration,mmebi,mmebi,sadness,0.536
enlighten,kọwaa,kọwaa,joy,0.758
sympathetic,ọmịiko,ọmịiko,trust,0.602
inconsequential,adịghị mkpa,adịghị mkpa,sadness,0.152
abyss,abis,abis,fear,0.578
injustice,ikpe na -ezighị ezi,ikpe na -ezighị ezi,anger,0.5
oracle,ekwu okwu,ekwu okwu,trust,0.438
renovation,ntaghari ohuru,ntụgharị ọhụrụ,joy,0.333
pleased,nwee obi ụtọ,nwee obi ụtọ,joy,0.725
buffet,nkuru n'onwe,nkuru n'onwe,anger,0.029
inheritance,ihe nketa,ihe nketa,anticipation,0.648
snake,agwo,agwọ,disgust,0.562
ruinous,mbibi,mbibi,fear,0.625
bombard,ogbunigwe,ogbunigwe,anger,0.641
unexplained,akọwapụtaghị ya,akọwapụtaghị ya,sadness,0.25
shepherd,onye ọzụzụ atụrụ,onye ọzụzụ atụrụ,joy,0.058
tearful,anya mmiri,anya mmiri,fear,0.406
missing,efu,efu,fear,0.474
acceptances,nnabata,nnabata,fear,0.203
discomfort,erughị ala,erughị ala,sadness,0.5
uncensured,enweghị ntụpọ,enweghị ntụpọ,trust,0.539
deserve,kwesiri,kwesiri,anger,0.176
caries,caries,mmebi,disgust,0.445
lovely,mara mma,mara mma,sadness,0.009
enemy,onye iro,onye iro,fear,0.625
consecration,nraranye,nraranye,trust,0.461
credible,kwesiri ntukwasi obi,kwesiri ntukwasi obi,trust,0.773
swell,zaa,zaa,trust,0.367
good,mma,mma,surprise,0.219
risky,dị ize ndụ,dị ize ndụ,anticipation,0.617
poll,ntuli aka,ntuli aka,trust,0.352
contagion,na -efe efe,na -efe efe,disgust,0.719
reproach,nkọcha,nkọcha,disgust,0.32
insanity,ara,ara,fear,0.547
representing,na -anọchite anya ya,na -anọchite anya ya,anticipation,0.398
butler,onye nlekọta mmanya,onye nlekọta mmanya,trust,0.438
winning,na -emeri,na -emeri,joy,0.703
testament,agba,agba,trust,0.617
spoiler,onye na -apụnara mmadụ ihe,onye na -apụnara mmadụ ihe,sadness,0.348
slaughtering,ogbugbu,ogbugbu,disgust,0.828
harmoniously,na -ekwekọ,na -ekwekọ,trust,0.672
misunderstanding,nghọtahie,nghọtahie,sadness,0.359
sectarian,ịrọ òtù,ịrọ òtù,anger,0.359
notable,ọwọrọiso,ịrịbama,joy,0.297
myopia,myopia,ọrịa anya,anger,0.283
shiver,ịma jijiji,ịma jijiji,anticipation,0.367
cantstandit,enweghị ike iguzo,enweghị ike iguzo,anger,0.529
bargaining,ahia ahia,ọnụ ahịa,anger,0.167
homesick,agụụ ụlọ,agụụ ụlọ,sadness,0.531
revere,sọpụrụ,sọpụrụ,trust,0.586
ineptitude,enweghị isi,enweghị isi,fear,0.417
abundance,ụba,ụba,anticipation,0.547
unbearable,anagideghi,anagideghi,sadness,0.83
harshness,isi ike,isi ike,anger,0.597
traitor,onye sabo,onye sabo,disgust,0.602
entertaining,na -atọ ụtọ,na -atọ ụtọ,anticipation,0.602
suspect,onye na -enyo enyo,onye na -enyo enyo,fear,0.516
simmer,simmer,isi nri,anticipation,0.398
harshness,isi ike,isi ike,fear,0.516
humbled,wedara ala,wedara ala,joy,0.234
bestdayever,ụbọchị kacha mma,ụbọchị kacha mma,joy,0.938
exceed,gafere,gafere,anticipation,0.539
limited,oke,oke,anger,0.292
perjury,ịgba akaebe ụgha,ịgba akaebe ụgha,surprise,0.414
excite,kpalie,kpalie,joy,0.697
furious,na -ewe oke iwe,na -ewe oke iwe,disgust,0.469
caretaker,onye nlekọta,onye nlekọta,trust,0.625
averseness,ọgba aghara,ọgba aghara,disgust,0.391
revere,sọpụrụ,sọpụrụ,anticipation,0.422
assailant,mwakpo,mwakpo,fear,0.703
barren,aga,aga,sadness,0.67
heavenly,nke eluigwe,nke eluigwe,anticipation,0.578
disturbed,nsogbu n'obi,nsogbu n'obi,anger,0.559
stressed,nrụgide,nrụgide,fear,0.531
dogma,nkwenkwe,nkwenkwe,trust,0.367
speculative,ntule,ntule,anticipation,0.555
sux,sux,mmịrị,anger,0.456
sponsor,onye nkwado,onye nkwado,trust,0.531
murderous,na -egbu ọchụ,na -egbu ọchụ,sadness,0.844
pornography,ihe na -akpali agụụ mmekọahụ,ihe na -akpali agụụ mmekọahụ,disgust,0.586
canker,onye na -egbu anụ,onye na -egbu anụ,disgust,0.758
shutdown,mechie,mechie,fear,0.328
prize,ihe nrite,ihe nrite,trust,0.562
offender,onye mejọrọ,onye mejọrọ,sadness,0.594
lovethis,ịhụnanya,ịhụnanya,joy,0.891
rags,akwa,akwa,disgust,0.32
guillotine,guillotine,kemical,anticipation,0.398
supporter,onye nkwado,onye nkwado,trust,0.734
sledding,sledding,ugbọala,joy,0.422
disruption,nkwụsị,nkwụsị,anger,0.469
trickery,aghụghọ,aghụghọ,fear,0.312
hunter,dinta,dinta,anticipation,0.523
charitable,ọrụ ebere,ọrụ ebere,joy,0.5
snowday,ụbọchị snow,ụbọchị snow,joy,0.333
routine,usoro,usoro,trust,0.414
ongoing,na -aga n'ihu,na -aga n'ihu,anticipation,0.414
relieved,enwere onwe ya,enwere onwe ya,joy,0.647
imagination,echiche,echiche,fear,0.141
antsy,antsy,ezughị ike,fear,0.375
depreciate,ibelata,ibelata,anger,0.315
enthusiast,onye na -anụ ọkụ n'obi,onye na -anụ ọkụ n'obi,joy,0.471
failure,odida,ọdịda,sadness,0.812
martyrdom,martyrdom,ịta ahụhụ,fear,0.562
witch,amoosu,amoosu,anger,0.242
irritate,kpasuo iwe,kpasuo iwe,anger,0.621
nobility,onye amara,onye amara,anticipation,0.352
sweetheart,obi oma,obi ọma,joy,0.758
engaging,na -etinye aka,na -etinye aka,joy,0.485
ballot,vootu,vootu,trust,0.531
malicious,obi ojoo,obi ọjọọ,sadness,0.719
confined,ejichi,ejichi,disgust,0.32
hooray,hooray,obi ụtọ,joy,0.859
vermin,ụmụ ahụhụ,ụmụ ahụhụ,disgust,0.789
unfortunate,odighi nma,odighi nma,sadness,0.469
plight,nsogbu,nsogbu,anticipation,0.461
lord,onyenwe,onyenwe,disgust,0.125
attacking,na -awakpo,na -awakpo,sadness,0.531
noschool,ụlọ akwụkwọ,akwụkwọ adịghị,joy,0.516
mortgage,nnyefe ego,nnyefe ego,fear,0.331
exaggerate,imebiga ihe ókè,imebiga ihe ókè,anger,0.263
demon,mmụọ ọjọọ,mmụọ ọjọọ,anger,0.735
beginnings,mmalite,mmalite,joy,0.422
volatility,volatility,ogwe,anger,0.687
tramp,tramp,kpafuo,fear,0.44
bewilderment,mgbagwoju anya,mgbagwoju anya,fear,0.312
jesus,jesus,jisọs,joy,0.594
gate,Ọnụ ụzọ,Ọnụ ụzọ,trust,0.414
don,inye,inye,trust,0.273
crisp,siri ike,siri ike,trust,0.383
tumult,ọgba aghara,ọgba aghara,fear,0.656
pissingmeoff,na -atọ m ụtọ,ikpasum iwe,anger,0.848
resisting,iguzogide,iguzogide,sadness,0.309
endemic,juru ebe nile,juru ebe nile,sadness,0.5
politics,ndọrọ ndọrọ ọchịchị,ndọrọ ndọrọ ọchịchị,anger,0.234
mucked,mechie,igbu,anger,0.438
incarceration,mkporo,mkpọrọ,sadness,0.641
schism,esemokwu,esemokwu,anger,0.439
camping,maa ụlọikwuu,maa ụlọikwuu,joy,0.221
perishing,na -ala n'iyi,na -ala n'iyi,sadness,0.804
umpire,onye ikpe,onye ikpe,trust,0.492
holocaust,Oké mgbukpọ,Oké mgbukpọ,sadness,0.953
defy,nlelị,inupụ isi,anger,0.5
punish,taa ahuhu,ahụhụ,fear,0.531
spouse,nwunye,nwunye,joy,0.507
instability,enweghi ike,enweghi ike,fear,0.5
uneasy,obi erughị ala,obi erughị ala,disgust,0.273
opposed,emegide,emegide,anger,0.484
asserting,na -ekwusi ike,na -ekwusi ike,trust,0.445
stingy,ntamu,enweghị aka onyinye,sadness,0.319
blast,mgbawa,mgbawa,fear,0.688
avalanche,nnukwu mmiri ozuzo,nnukwu mmiri ozuzo,surprise,0.711
unequal,ahaghị nhata,ahaghị nhata,sadness,0.422
passion,ahuhu,ahuhu,joy,0.603
dreadfully,dị egwu,dị egwu,fear,0.796
unimaginable,enweghị atụ,enweghị atụ,surprise,0.75
overpowering,karịrị akarị,karịrị akarị,fear,0.562
apologize,ịrịọ mgbaghara,ịrịọ mgbaghara,trust,0.477
buried,lie,lie,sadness,0.703
beach,osimiri,osimiri,joy,0.5
pernicious,ihe ojoo,ihe ọjọọ,anger,0.576
menacing,na -eyi egwu,na -eyi egwu,fear,0.672
blackness,oji,oji,fear,0.484
coronation,echichi,echichi,joy,0.515
vampire,vampire,ọnwụ ọbara,anger,0.242
cram,cram,ọkpụkpụ,fear,0.312
unconscionable,enweghị mgbagha,enweghị mgbagha,disgust,0.492
immoral,omume rụrụ arụ,omume rụrụ arụ,fear,0.41
lean,dabere,dabere,trust,0.383
listneing,ndepụta,ndepụta,joy,0.212
warm,na -ekpo ọkụ,na -ekpo ọkụ,joy,0.429
exile,ije biri n'ala ọzọ,ije biri n'ala ọzọ,anger,0.469
autopsy,otopsii,otopsii,disgust,0.719
antisocial,onye na -emegide mmadụ,onye na -emegide mmadụ,fear,0.324
gonorrhea,gonorrhea,ọrịa,sadness,0.5
rest,zuru ike,zuru ike,joy,0.469
fidelity,ikwesị ntụkwasị obi,ikwesị ntụkwasị obi,joy,0.359
thankyoulord,daalụ,chineke daalụ,joy,0.803
purr,purr,ime mkpọtụ,trust,0.344
disappointments,ndakpọ olileanya,ndakpọ olileanya,trust,0.203
dirty,unyi,unyi,disgust,0.727
commendable,ịja mma,ịja mma,joy,0.519
monstrosity,monstrosity,anụmanụ,surprise,0.594
fearless,n'atụghị egwu,n'atụghị egwu,fear,0.2
frisky,frisky,ume ọrụ,anticipation,0.414
sympathetic,ọmịiko,ọmịiko,sadness,0.307
center,etiti,etiti,trust,0.531
live,ndụ,ndụ,joy,0.406
insists,na -ekwusi ike,na -ekwusi ike,anger,0.175
subscribe,denye aha,denye aha,anticipation,0.406
crusade,agha ntụte,agha ntụte,fear,0.392
derogatory,okwu mkparị,okwu mkparị,disgust,0.641
eviction,nchụpụ,nchụpụ,sadness,0.594
remarkable,dị ịrịba ama,dị ịrịba ama,joy,0.516
freaked,gbawara agbawa,gbawara agbawa,fear,0.703
completing,na -emecha,na -emecha,anticipation,0.578
offend,mejọọ,mejọọ,anger,0.75
soreness,ọnya,ọnya,sadness,0.328
psalms,abụ ọma,abụ ọma,joy,0.288
dreadful,dị egwu,dị egwu,anger,0.562
callous,obi ọjọọ,obi ọjọọ,anger,0.545
persecution,mkpagbu,mkpagbu,sadness,0.844
teach,izi ihe,izi ihe,trust,0.617
massacre,mgbuchapụ,mgbuchapụ,sadness,0.931
blast,mgbawa,mgbawa,anger,0.606
illumination,ìhè,ìhè,trust,0.555
stressrelief,nchekasị,nhapụ nchekasi,joy,0.5
thug,onye ohi,onye ohi,anger,0.606
intrigue,aghụghọ,aghụghọ,surprise,0.43
stound,stound,oge,surprise,0.445
erupt,gbawaa,gbawaa,anger,0.742
chill,jụọ oyi,jụọ oyi,joy,0.281
rattlesnake,agwo agwo,agwọ,fear,0.641
misfortune,ihe ojoo,ihe ọjọọ,sadness,0.516
explosions,mgbawa,mgbawa,joy,0.061
enslaved,ohu,ohu,sadness,0.828
evict,chụpụ,chụpụ,sadness,0.5
premature,akaghi aka,akaghi aka,surprise,0.578
fleece,ajị anụ,ajị anụ,sadness,0.109
teamjesus,otujesus,otu jisọs,joy,0.5
secrete,zoro ezo,zoro ezo,disgust,0.633
antisocial,onye na -emegide mmadụ,onye na -emegide mmadụ,sadness,0.531
fat,abụba,abụba,sadness,0.203
revving,ịtụgharị,ịtụgharị,anger,0.309
deportation,mbula,mbula,fear,0.517
contented,afọ juru,afọ juru,joy,0.588
contempt,nlelị,nlelị,disgust,0.484
sad,mwute,mwute,sadness,0.844
swastika,swastika,uhie,anger,0.627
ranger,onye na -elekọta ụlọ,onye na -elekọta ụlọ,trust,0.484
accomplished,mezuru,mezuru,joy,0.672
merit,ihe ruru eru,ihe ruru eru,trust,0.664
merriment,na -atọ ụtọ,na -atọ ụtọ,surprise,0.453
ferocious,dị egwu,dị egwu,fear,0.667
retaliatory,mmegwara,mmegwara,anger,0.788
fighting,na -alụ ọgụ,na -alụ ọgụ,anger,0.868
transcendence,karịrị akarị,karịrị akarị,trust,0.602
bigot,onye isi ike,onye isi ike,fear,0.422
