word,machine,human,label,emotion_intensity_score
soul,ruhu,ruhu,joy,0.401
assembly,taro,taro,trust,0.484
pauper,talauci,talauci,sadness,0.562
prevent,hana,hana,fear,0.125
smell,wari,wari,anger,0.061
despotism,son zuciya,son zuciya,sadness,0.453
interrupts,ya katse,ya katse,anger,0.265
wimpy,wimpy,ragon maza,sadness,0.348
adore,kauna,ƙauna,trust,0.578
bride,amarya,amarya,joy,0.471
immerse,nutse,nutse,fear,0.266
deceased,mamaci,mamaci,sadness,0.891
decay,rubewa,ruɓewa,fear,0.557
disrelish,lalata,lalata,disgust,0.391
miss,miss,rasa,sadness,0.379
killing,kisa,kisa,fear,0.906
slippery,m,marar tabbas,fear,0.181
graduation,kammala karatu,kammala karatu,trust,0.523
movingon,motsi,motsi,joy,0.182
gazing,kallo,kallo,joy,0.333
sedition,fitina,fitina,sadness,0.469
shudder,girgiza,girgiza,fear,0.578
payback,biya,biya,anger,0.436
hammering,hamma,hamma,anger,0.5
blackness,baki,baƙi,fear,0.484
renegade,mai yin ridda,mai yin ridda,anger,0.529
disabled,naƙasassu,naƙasassu,fear,0.406
misbehavior,rashin tarbiyya,rashin tarbiyya,anger,0.351
regime,tsarin mulki,tsarin mulki,fear,0.469
loyal,m,mai biyayya,trust,0.75
chant,waƙa,waƙa,anticipation,0.383
tremor,rawar jiki,rawar jiki,anticipation,0.484
adder,adda,maciji,sadness,0.361
outburst,fita waje,fita waje,sadness,0.531
supremacy,fifiko,fifiko,fear,0.328
sprain,guguwa,guguwa,sadness,0.203
halting,tsayawa,tsayawa,sadness,0.297
hospital,asibiti,asibiti,trust,0.531
repellent,m,mai korewa,anger,0.442
gnome,gnome,mummunan wada,disgust,0.203
homework,aikin gida,aikin gida,fear,0.109
scaffold,shinge,shinge,fear,0.234
yaaay,yayy,nuna ƙarfafawa,joy,0.706
intercession,ccessionto,cetarwa,trust,0.391
antidote,maganin guba,maganin guba,anticipation,0.391
sneer,zagi,zagi,disgust,0.539
suspension,dakatarwa,dakatarwa,fear,0.422
legislator,mai doka,mai doka,trust,0.406
run,gudu,gudu,fear,0.25
sorrowful,mai baƙin ciki,mai baƙin ciki,sadness,0.75
daemon,aljannu,aljannu,anger,0.641
virulence,virulence,gaba mai zafi,fear,0.625
reckless,m,ganganci,fear,0.344
pitfall,rami,rami,surprise,0.586
deal,yarjejeniyar,yarjejeniya,joy,0.312
stun,mamaki,mamaki,surprise,0.711
foreveralone,har abada ni kadai,har abada ni kaɗai,sadness,0.688
blood,jini,jini,fear,0.525
presumptuous,girman kai,girman kai,anger,0.288
raving,raving,yin sumbatu,joy,0.578
investigation,bincike,bincike,anticipation,0.586
bailiff,ma'aikacin kotu,ma'aikacin kotu,fear,0.147
satisfy,gamsu,gamsu,joy,0.656
worship,ibada,ibada,trust,0.555
agape,agaji,agaji,anticipation,0.547
grandchildren,jikoki,jikoki,joy,0.54
astonishment,mamaki,mamaki,joy,0.547
carol,carol,waƙa,joy,0.328
growl,guguwa,guguwa,fear,0.516
barks,haushi,haushi,anger,0.364
lawyer,lauya,lauya,disgust,0.352
intermission,katsewa,katsewa,anticipation,0.508
loneliness,kadaici,kaɗaici,fear,0.344
purring,purring,magana a hankali,joy,0.469
intimate,m,amini,trust,0.634
sothankful,godiya,godiya,joy,0.781
possess,mallaka,mallaka,joy,0.219
encourage,ƙarfafa,ƙarfafa,trust,0.625
persecution,fitina,fitina,anger,0.703
tradesmen,yan kasuwa,yan kasuwa,trust,0.445
xxx,xxx,talatin,trust,0.234
seriousness,muhimmancin,muhimmancin,sadness,0.394
legislature,majalisar dokoki,majalisar dokoki,trust,0.336
punch,naushi,naushi,fear,0.58
doubts,shakka,shakka,trust,0.172
premeditated,riga aka shirya,riga aka shirya,fear,0.5
god,allah,Allah,trust,0.617
growling,kuka,kuka,anger,0.75
parish,Ikklesiya,Ikklesiya,trust,0.422
hurtful,m,mai haifar da damuwa,anger,0.603
unfriendly,m,rashin abokantaka,sadness,0.516
ferocious,m,mai fushi,fear,0.667
clinical,na asibiti,na asibiti,fear,0.312
illegitimate,shege,shege,anger,0.333
prick,tsinke,tsinke,disgust,0.461
burial,binnewa,binnewa,sadness,0.812
ghetto,ghetto,unguwar talakawa,sadness,0.438
cringe,wulakanci,wulaƙanci,disgust,0.516
stingy,mai rowa,mai rowa,disgust,0.398
sobriety,sobriety,hankali,trust,0.586
expertise,gwaninta,gwaninta,trust,0.68
silly,wauta,wauta,joy,0.516
exciting,mai ban sha'awa,mai ban sha'awa,surprise,0.672
enslaved,bautar,bautar,anger,0.625
obliterated,shafewa,shafewa,fear,0.8
nasty,m,mai sa ƙyama,sadness,0.484
tryouts,gwaji,gwaji,fear,0.21
slop,gangarawa,gangarawa,disgust,0.641
despair,yanke kauna,yanke ƙauna,anger,0.382
fooled,yaudara,yaudara,sadness,0.531
restrain,takura,takura,fear,0.453
mournful,makoki,makoki,anger,0.188
banish,kore,kore,anger,0.509
deformed,nakasasshe,nakasasshe,disgust,0.68
independent,mai zaman kansa,mai zaman kansa,joy,0.359
bier,makara,makara,sadness,0.5
commendable,abin yabo,abin yabo,joy,0.519
infuriate,fusata,fusata,anger,0.844
interminable,m,mara iyaka,anger,0.343
lowest,mafi ƙasƙanci,mafi ƙasƙanci,sadness,0.478
pitfall,rami,rami,disgust,0.367
laughter,dariya,dariya,joy,0.824
statement,sanarwa,sanarwa,trust,0.547
gift,kyauta,kyauta,surprise,0.43
cannibalism,cin naman mutane,cin naman mutane,disgust,0.953
mastery,gwaninta,gwaninta,joy,0.53
camouflaged,kafewa,kafewa,surprise,0.375
hideous,m,mummuna sosai,sadness,0.516
consort,consort,abokin tarayya,trust,0.414
sublime,madaukaki,maɗaukaki,joy,0.545
heroic,jarumi,jarumi,trust,0.664
retirement,ritaya,ritaya,fear,0.156
gibberish,gibberish,magana marar ma'ana,anger,0.172
animosity,ƙiyayya,ƙiyayya,disgust,0.484
saint,waliyyi,waliyyi,anticipation,0.438
infraction,cin zarafi,cin zarafi,anger,0.485
probability,yiwuwa,yiwuwa,anticipation,0.547
intelligence,hankali,hankali,joy,0.477
suspect,wanda ake zargi,wanda ake zargi,fear,0.516
pill,kwaya,ƙwaya,trust,0.312
hanging,rataye,rataye,anger,0.636
disgrace,wulakanci,wulaƙanci,sadness,0.812
problem,matsala,matsala,sadness,0.438
vexed,damuwa,damuwa,anger,0.586
youth,matasa,matasa,joy,0.375
whimper,murmushi,murmushi,sadness,0.576
inspire,yi wahayi zuwa,yi wahayi zuwa,joy,0.594
devotional,ibada,ibada,trust,0.633
rebellion,tawaye,tawaye,disgust,0.359
pinion,filayen,filayen,fear,0.234
hope,bege,bege,anticipation,0.773
shatter,farfashe,farfashe,surprise,0.609
pacing,tafiya,tafiya,fear,0.316
wreck,rushewa,rushewa,surprise,0.742
outsider,bare,bare,fear,0.413
believing,imani,imani,trust,0.727
anxious,damuwa,damuwa,anticipation,0.641
tantamount,daidai,daidai,trust,0.539
discreet,m,kaucewa abin kunya,anticipation,0.289
wrangling,rigima,rigima,sadness,0.359
offensive,m,na laifi,disgust,0.578
derogatory,wulakanci,wulaƙanci,anger,0.562
grievous,damuwa,damuwa,anger,0.632
dictum,hukunci,hukunci,trust,0.445
suffocation,shaƙewa,shaƙewa,anger,0.625
dove,kurciya,kurciya,trust,0.469
cash,tsabar kudi,tsabar kuɗi,trust,0.414
receiving,karba,karɓa,surprise,0.258
fraudulent,yaudara,yaudara,anger,0.424
cheer,gaisuwa,gaisuwa,trust,0.547
garden,lambu,lambu,joy,0.333
secrete,asiri,asiri,disgust,0.633
celebrating,bikin,bikin,anticipation,0.672
dayoff,dayoff,ranar hutu,joy,0.531
forearm,gaba,gaba,anticipation,0.25
flu,mura,mura,fear,0.375
journey,tafiya,tafiya,joy,0.447
leaf,ganye,ganye,joy,0.065
savior,mai ceto,mai ceto,joy,0.543
hateeee,ƙiyayya,ƙiyayya,anger,0.779
applaud,tafi,tafi,trust,0.562
treachery,ha'inci,ha'inci,fear,0.856
ordeal,wahala,wahala,surprise,0.453
banished,kore,kore,fear,0.562
consternation,firgita,firgita,anger,0.592
howl,kuka,kuka,anger,0.394
fiend,fiend,aljani,fear,0.484
falter,falter,raza ƙarfi,fear,0.438
socialism,gurguzanci,gurguzanci,fear,0.405
protected,kare,kare,trust,0.703
salvation,ceto,ceto,anticipation,0.555
thrilling,mai ban sha'awa,mai ban sha'awa,anticipation,0.781
argumentation,jayayya,jayayya,anger,0.515
boomerang,boomerang,majefin wasa,trust,0.359
flog,bulala,bulala,sadness,0.562
harass,tursasawa,tursasawa,anger,0.659
impotence,rashin iyawa,rashin iyawa,anger,0.344
impeccable,m,marar laifi,trust,0.664
vote,jefa ƙuri'a,jefa ƙuri'a,sadness,0.031
jitters,jitters,matsananciyar fargaba,fear,0.562
ridiculous,m,na ba'a,anger,0.289
income,samun kudin shiga,kuɗin shiga,anticipation,0.5
like,kamar,kamar,trust,0.484
frighten,tsorata,tsorata,fear,0.828
discontinuity,katsewa,katsewa,fear,0.312
cupping,cupping,yin ƙaho,disgust,0.25
prevalent,yaduwa,yaɗuwa,trust,0.547
outburst,fita waje,fita waje,fear,0.547
overpowering,rinjaye,rinjaye,anger,0.591
depravity,lalata,lalata,disgust,0.797
thrash,bugawa,bugawa,anger,0.734
arid,m,rashin sha'awa,sadness,0.203
dependence,dogaro,dogaro,fear,0.234
ammonia,ammoniya,iskar gas marar launi,disgust,0.422
supremacy,fifiko,fifiko,anger,0.409
unconditionally,ba tare da sharadi ba,ba tare da sharaɗi ba,trust,0.648
path,hanya,hanya,trust,0.484
linguist,masanin harshe,masanin harshe,trust,0.406
malignancy,muguwar cuta,muguwar cuta,sadness,0.803
sodding,sodding,rufaffe,anger,0.4
glaring,haske,haske,anger,0.636
affliction,wahala,wahala,fear,0.557
holiness,tsarki,tsarki,anticipation,0.273
precious,mai daraja,mai daraja,surprise,0.195
helmet,kwalkwali,kwalkwali,fear,0.094
namaste,namaste,gaisuwa,joy,0.453
yell,ihu,ihu,surprise,0.695
trade,kasuwanci,kasuwanci,trust,0.461
vampire,vampire,fatalwa,fear,0.625
secure,amintacce,amintacce,trust,0.688
ashamed,kunya,kunya,sadness,0.719
hopelessness,rashin bege,yanke ƙauna,sadness,0.844
tribunal,kotun,kotu,trust,0.516
masochism,masochism,gamsuwa ta wahala,fear,0.594
regatta,regatta,tseren kwale-kwale,anticipation,0.461
paranoid,paranoid,tsoron tsanantawa,fear,0.688
immoral,m,rashin ɗa'a,fear,0.41
lyrical,waƙa,waƙa,joy,0.439
distress,damuwa,damuwa,surprise,0.625
grumble,gunaguni,gunaguni,anger,0.544
disrespectful,rashin mutunci,rashin mutunci,anger,0.516
exalt,ɗaukaka,ɗaukaka,trust,0.555
serve,yi hidima,yi hidima,trust,0.414
belligerent,masu faɗa,masu faɗa,anger,0.841
bubble,kumfa,kumfa,joy,0.141
crypt,kuka,kuka,sadness,0.594
strengthening,ƙarfafawa,ƙarfafawa,trust,0.661
system,tsarin,tsarin,trust,0.406
noncompliance,rashin biyayya,rashin biyayya,anticipation,0.289
anger,fushi,fushi,anger,0.811
cult,ibada,ibada,fear,0.518
omen,zagi,zagi,fear,0.594
unemployed,marasa aikin yi,marasa aikin yi,fear,0.391
knuckles,wuyan hannu,wuyan hannu,anger,0.439
mortuary,dakin ajiye gawa,ɗakin ajiye gawa,fear,0.75
occasional,lokaci -lokaci,lokaci -lokaci,surprise,0.312
fierce,m,mai ƙarfi,disgust,0.352
ram,rago,rago,anticipation,0.383
contaminated,gurbata,gurɓata,fear,0.61
buzz,buzz,yi ziza,anticipation,0.594
castrate,jifa,jifa,anger,0.727
risky,m,mai haɗari,fear,0.562
turbulence,tashin hankali,tashin hankali,fear,0.562
pokes,pokes,kashin baya,anger,0.379
tease,tsokana,tsokana,sadness,0.188
ordained,kaddara,ƙaddara,trust,0.641
corrupting,m,mai lalatarwa,fear,0.562
judged,yi hukunci,yi hukunci,trust,0.406
thirteenth,goma sha uku,goma sha uku,fear,0.465
stroke,bugun jini,bugun jini,sadness,0.406
scorpion,kunama,kunama,fear,0.547
bloom,fure,fure,trust,0.531
aftermath,bayan,bayan,anger,0.359
poisonous,mai guba,mai guba,sadness,0.641
oasis,oasis,zango,joy,0.486
delightful,m,mai ban murna,anticipation,0.586
traitor,mayaudari,mayaudari,anger,0.562
assessment,kima,kima,trust,0.594
kidnapped,sace,sace,fear,0.828
unclean,marar tsarki,marar tsarki,disgust,0.586
intolerance,rashin haƙuri,rashin haƙuri,fear,0.516
thug,ɗan daba,ɗan daba,anger,0.606
upright,a mike,a miƙe,trust,0.578
assailant,maharin,maharin,anger,0.691
shiver,rawar jiki,rawar jiki,fear,0.484
simmering,mai nishaɗi,mai nishaɗi,anticipation,0.617
income,samun kudin shiga,samun kuɗin shiga,trust,0.484
yayyyy,yayyyy,murna,joy,0.859
hallucination,hallucination,ruɗu,fear,0.484
trash,datti,datti,sadness,0.234
gambler,ɗan caca,ɗan caca,anticipation,0.57
honeymoon,gudun amarci,gudun amarci,anticipation,0.68
blight,cuta,cuta,disgust,0.5
atrophy,atrophy,motsewar jiki,disgust,0.555
actionable,actionable,rashin adalci,anger,0.394
destroyed,halaka,halaka,anger,0.788
shackle,dauri,ɗauri,disgust,0.5
thumping,bugawa,bugawa,fear,0.422
formative,m,samarwa,trust,0.516
escalate,haɓaka,haɓaka,anger,0.569
motherhood,uwa,uwa,joy,0.5
wan,wan,dariya,fear,0.281
inheritance,gado,gado,anticipation,0.648
executioner,mai aiwatarwa,mai aiwatarwa,anger,0.644
frankenstorm,frankenstorm,tashin hankali,fear,0.672
termite,lokaci,lokaci,disgust,0.617
willful,da gangan,da gangan,sadness,0.16
howl,kuka,kuka,fear,0.453
frenetic,m,mai sauri,fear,0.5
selfishness,son kai,son kai,anger,0.469
vanished,ya ɓace,ya ɓace,fear,0.562
twitching,karkatarwa,karkatarwa,anger,0.219
mum,uwa,uwa,fear,0.07
clown,wawa,wawa,joy,0.409
labor,aiki,aiki,joy,0.106
headaches,ciwon kai,ciwon kai,fear,0.359
doubt,shakka,shakka,trust,0.203
austere,m,takura,fear,0.47
abhorrence,abin ƙyama,abin ƙyama,disgust,0.742
wokemeup,wokemeup,tashe ni,anger,0.234
depresson,depresson,ciwon damuwa,fear,0.422
grumpy,m,mugun hali,anger,0.328
frustrate,takaici,takaici,sadness,0.469
negation,rashin kulawa,rashin kulawa,anger,0.344
guarded,tsare,tsare,trust,0.602
shack,shack,dadiro,sadness,0.266
opera,wasan opera,wasan opera,trust,0.336
real,haqiqa,haƙiƙa,trust,0.641
advance,ci gaba,ci gaba,joy,0.375
banger,banger,tsohuwar mota,anticipation,0.383
illegality,rashin bin doka,rashin bin doka,fear,0.469
hammock,raga,raga,joy,0.394
hero,jarumi,jarumi,trust,0.773
nervy,m,rashin kunya,fear,0.391
cocaine,hodar iblis,hodar iblis,sadness,0.218
ordination,nadawa,naɗawa,anticipation,0.414
happyvalentinesday,murnar ranar,murnar ranar masoya,joy,0.773
bridegroom,ango,ango,anticipation,0.656
incubus,incubus,mugun mafarki,fear,0.562
abandoned,watsi,watsi,sadness,0.828
venomous,dafi,dafi,anger,0.818
diarrhoea,gudawa,gudawa,disgust,0.82
unfailing,marar ƙarewa,marar ƙarewa,trust,0.586
goodbye,sannu da zuwa,sannu da zuwa,sadness,0.375
force,karfi,ƙarfi,anger,0.418
bloodthirsty,masu shan jini,masu shan jini,fear,0.922
bitterness,daci,ɗaci,trust,0.234
weigh,auna,auna,trust,0.344
terrorism,ta'addanci,ta'addanci,sadness,0.812
pissedoff,ji haushi,ji haushi,anger,0.812
hopeless,bege,yanke ƙauna,sadness,0.688
twinkle,walƙiya,walƙiya,joy,0.636
legitimacy,halacci,halacci,trust,0.633
discolored,canza launi,canza launi,sadness,0.219
scalpel,fatar kai,fatar kai,fear,0.5
misbehavior,rashin tarbiyya,rashin tarbiyya,surprise,0.5
incompatible,m,rashin jituwa,disgust,0.359
tranquil,kwanciyar hankali,kwanciyar hankali,joy,0.441
leave,bar,bar,sadness,0.328
messy,m,rashin tsabta,disgust,0.57
rail,dogo,dogo,anticipation,0.234
hermit,mugu,mugu,sadness,0.296
withstand,tsayayya,tsayayya,anticipation,0.414
rapt,fyaɗe,mayar da hankali,surprise,0.438
aggressive,m,mai cin zali,anger,0.667
stomped,buga,buga,anger,0.557
dominant,rinjaye,rinjaye,fear,0.406
luxury,alatu,alatu,trust,0.406
memorable,abin tunawa,abin tunawa,joy,0.5
slap,mari,mari,surprise,0.68
purgatory,purgatory,azabtarwa,disgust,0.547
prostitution,karuwanci,karuwanci,sadness,0.375
explode,fashe,fashe,surprise,0.906
elated,farin ciki,farin ciki,joy,0.894
gonorrhea,gonorrhea,guloriya,fear,0.547
scripture,nassi,nassi,joy,0.196
infinity,rashin iyaka,rashin iyaka,anticipation,0.453
pained,ciwo,ciwo,fear,0.578
assassin,kisa,kisa,fear,0.875
truthful,mai gaskiya,mai gaskiya,trust,0.836
setback,koma baya,koma baya,sadness,0.297
judicial,shari'a,shari'a,trust,0.633
unbroken,ba kakkarye,wanda bai kakkarye ba,trust,0.523
silence,shiru,shiru,joy,0.127
gratuitous,kyauta,kyauta,disgust,0.242
mislead,yaudara,yaudara,trust,0.18
conscientious,mai hankali,mai hankali,trust,0.641
agreed,yarda,yarda,trust,0.648
vainly,banza,banza,disgust,0.367
sloth,rashin hankali,rashin hankali,disgust,0.539
necessarily,dole,dole,trust,0.461
uncover,fallasa,fallasa,surprise,0.562
barrow,barrow,kura,disgust,0.258
lake,tafki,tafki,joy,0.103
arson,ƙonawa,ƙonawa,anger,0.641
adversity,wahala,wahala,sadness,0.484
defenseless,marasa tsaro,marasa tsaro,sadness,0.526
fearful,mai tsoro,mai tsoro,sadness,0.766
legalized,halatta,halatta,fear,0.156
rat,bera,ɓera,fear,0.484
shock,girgiza,girgiza,anger,0.269
excitement,tashin hankali,tashin hankali,anticipation,0.82
massacre,kisan gilla,kisan gilla,sadness,0.931
holiness,tsarki,tsarki,surprise,0.234
saintly,tsarkaka,tsarkaka,trust,0.633
hunting,farauta,farauta,anger,0.411
strengthening,ƙarfafawa,ƙarfafawa,joy,0.516
verdict,hukunci,hukunci,fear,0.344
associate,abokin tarayya,abokin tarayya,trust,0.469
innerpeace,zaman lafiya,zaman lafiya,joy,0.656
senile,tsofaffi,tsofaffi,sadness,0.5
segregate,ware,ware,disgust,0.555
vampire,vampire,fatalwa,disgust,0.414
recession,koma bayan tattalin arziki,koma bayan tattalin arziki,disgust,0.492
presto,presto,sauri,joy,0.312
fricking,fricking,firgita,anger,0.485
besties,masu kyau,masu kyau,joy,0.656
excite,burge,burge,anger,0.191
unsuspecting,ba a sani ba,ba a sani ba,surprise,0.648
infliction,zalunci,zalunci,sadness,0.562
nothingness,banza,banza,sadness,0.594
flood,ambaliya,ambaliya,fear,0.547
obliteration,shafewa,shafewa,sadness,0.75
medication,magani,magani,fear,0.156
beaming,haske,haske,joy,0.938
bacterium,kwayan cuta,ƙwayar cuta,fear,0.531
endless,mara iyaka,mara iyaka,trust,0.344
turbulence,tashin hankali,tashin hankali,joy,0.045
hungry,yunwa,yunwa,anticipation,0.547
alerts,faɗakarwa,faɗakarwa,fear,0.276
disapproval,rashin yarda,rashin yarda,sadness,0.469
disallowed,an hana,an hana,sadness,0.328
remarkable,abin mamaki,abin mamaki,trust,0.562
berserk,hauka,hauka,anger,0.812
filthy,ƙazanta,ƙazanta,disgust,0.797
debenture,debenture,haraji,anticipation,0.406
ridicule,ba'a,ba'a,anger,0.534
parietal,parietal,ƙoƙon kai,trust,0.398
dominion,mulki,mulki,fear,0.328
impurity,najasa,najasa,disgust,0.5
insane,mahaukaci,mahaukaci,anger,0.621
alienate,ware,ware,anger,0.485
urgency,gaggawa,gaggawa,surprise,0.625
highest,mafi girma,mafi girma,anticipation,0.491
dying,mutuwa,mutuwa,sadness,0.875
roulette,roulette,wili,anticipation,0.68
suicidal,kashe kansa,kashe kansa,disgust,0.695
anguish,baƙin ciki,baƙin ciki,sadness,0.902
pavement,matafiya,matafiya,trust,0.32
scholarship,malanta,malanta,joy,0.455
bomber,bam,bam,fear,0.734
ifonly,ifonly,idan kawai,sadness,0.391
atrocity,zalunci,zalunci,fear,0.672
wretched,mugu,mugu,disgust,0.711
psychosis,tabin hankali,taɓin hankali,sadness,0.638
laurels,laurel,koren ganye,joy,0.521
inhuman,m,rashin mutuntaka,anger,0.485
coldness,sanyi,sanyi,sadness,0.391
pestilence,annoba,annoba,disgust,0.781
reverend,girmama,girmama,joy,0.377
soldier,soja,soja,anger,0.258
lucky,m,nasara,joy,0.721
usurp,cin riba,cin riba,anger,0.485
mighty,m,mai girma,trust,0.469
scarcely,da kyar,da ƙyar,sadness,0.318
attestation,shaida,shaida,trust,0.664
deportation,fitarwa,fitarwa,sadness,0.594
yearning,buri,buri,joy,0.297
limited,iyakance,iyakance,sadness,0.167
picnic,wasan kwaikwayo,wasan kwaikwayo,trust,0.375
allied,kawance,kawance,trust,0.695
mathematical,ilmin lissafi,ilmin lissafi,trust,0.477
prophylactic,prophylactic,kare cuta,anticipation,0.406
screaming,ihu,ihu,disgust,0.5
prosecution,tuhuma,tuhuma,disgust,0.406
spillin,zubar,zubar,fear,0.328
compliment,yabo,yabo,trust,0.516
discourage,raunana,raunana,sadness,0.547
movingforward,motsi gaba,motsi gaba,joy,0.429
attacking,kai hari,dodo,disgust,0.547
cannon,igwa,igwa,fear,0.547
grim,m,mai tsanani/duhu,anticipation,0.312
psych,hankali,hankali,fear,0.344
sinful,mai zunubi,mai zunubi,disgust,0.633
font,font,salon rubutu,trust,0.352
carcass,gawa,mushe,sadness,0.653
splash,fesawa,fesawa,surprise,0.609
bouttime,lokaci,lokaci,joy,0.212
perfection,kamala,kamala,anticipation,0.508
outrageous,m,mai baƙanta rai,surprise,0.75
rapture,fyaucewa,fyaucewa,joy,0.485
getaway,tashi,tashi,joy,0.469
dread,tsoro,tsoro,anticipation,0.531
guidelines,jagororin,jagorori,fear,0.062
shepherd,makiyayi,makiyayi,joy,0.058
adhering,manne,manne,trust,0.57
dermatologist,likitan fata,likitan fata,trust,0.406
obey,yi biyayya,yi biyayya,fear,0.016
healing,waraka,waraka,joy,0.328
constable,ɗan sanda,ɗan sanda,trust,0.508
risk,hadarin,haɗari,fear,0.562
optimist,mai kyakkyawan fata,mai kyakkyawan fata,trust,0.5
fate,kaddara,ƙaddara,trust,0.438
impotence,rashin iyawa,rashin iyawa,fear,0.531
unsuccessful,rashin nasara,rashin nasara,sadness,0.359
dreary,gajiya,gajiya,sadness,0.656
hysteria,ciwon hanta,ciwon hanta,fear,0.797
thx,thx,madalla,joy,0.344
guillotine,guillotine,injin sare kai,disgust,0.617
plaudit,fara'a,fara'a,trust,0.383
pessimist,mai hangen nesa,mai hangen nesa,fear,0.317
scourge,bulala,bulala,anger,0.625
prohibited,haramta,haramta,fear,0.5
prologue,gabatarwa,gabatarwa,anticipation,0.453
tas,tas,tasa,trust,0.234
dismal,m,mai haifar da ɓacin rai,disgust,0.477
depraved,lalata,lalata,anticipation,0.391
mocking,izgili,izgili,disgust,0.469
ruin,rushewa,rushewa,fear,0.725
soblessed,soblessed,sai albarka,joy,0.706
imtryingtosleep,imtryingtos barci,barcin imotryingtos,anger,0.234
sisterhood,'yar'uwa,'yar'uwa,trust,0.773
crushed,murkushe,murƙushe,fear,0.812
hellish,wuta,wuta,sadness,0.738
opponent,abokin gaba,abokin gaba,anger,0.328
nopoint,nopoint,ba maƙasudi,anger,0.266
unbridled,mara tsari,mara tsari,anticipation,0.5
oblivion,mantuwa,mantuwa,anger,0.437
cheat,yaudara,yaudara,anger,0.63
nobleman,mai martaba,mai martaba,trust,0.516
affirm,tabbatar,tabbatar,trust,0.68
perish,halaka,halaka,sadness,0.859
discipline,horo,horo,fear,0.344
beautify,kawata,ƙawata,joy,0.601
prison,kurkuku,kurkuku,fear,0.625
melody,karin waƙa,karin waƙa,joy,0.348
distressed,cikin damuwa,cikin damuwa,fear,0.406
pestilence,annoba,annoba,fear,0.625
misplace,wuri mara kyau,wuri mara kyau,disgust,0.156
fears,tsoro,tsoro,fear,0.75
advance,ci gaba,ci gaba,anticipation,0.695
benevolence,kyautatawa,kyautatawa,joy,0.469
devil,shaidan,shaiɗan,anticipation,0.273
reluctance,rashin so,rashin so,disgust,0.234
hindering,hanawa,hanawa,sadness,0.359
rejoicing,murna,murna,surprise,0.578
badness,mugunta,mugunta,fear,0.539
calculation,lissafi,lissafi,anticipation,0.5
frightful,tsoratarwa,tsoratarwa,anger,0.562
expulsion,fitarwa,fitarwa,fear,0.547
degrading,ƙasƙanci,ƙasƙanci,sadness,0.609
complain,koka,koka,anger,0.469
excited,m,zumuɗi,surprise,0.625
ihatespiders,ihatespiders,na tsani gizo-gizo,fear,0.859
helpful,mai taimako,mai taimako,joy,0.422
dependence,dogaro,dogaro,sadness,0.328
counsellor,mai ba da shawara,mai ba da shawara,fear,0.094
deserve,cancanci,cancanci,trust,0.516
revenge,fansa,fansa,anger,0.738
pathetic,abin tausayi,abin tausayi,sadness,0.688
leukemia,cutar sankarar bargo,cutar sankarar ɓargo,anger,0.365
resistance,juriya,juriya,anger,0.543
discrimination,nuna bambanci,nuna bambanci,sadness,0.578
hurtful,m,mai haifar da damuwa,fear,0.625
foul,mugunta,mugunta,fear,0.25
obstructive,m,cikas,anger,0.542
excite,burge,burge,surprise,0.695
banish,kore,kore,fear,0.688
contentious,mai jayayya,mai jayayya,anger,0.578
carnage,kashe -kashe,kashe -kashe,surprise,0.688
leeches,leeches,matsattsaku,fear,0.531
extinct,bace,ɓace,sadness,0.703
hopelessness,rashin bege,yanke ƙauna,fear,0.531
grr,grr,ƙarar ɓacin rai,anger,0.641
quicksilver,mai sauri,mai sauri,surprise,0.422
socialist,ɗan gurguzu,ɗan gurguzu,sadness,0.125
clapping,tafada,tafawa,trust,0.375
credential,takardun shaida,takardun shaida,trust,0.727
burnt,konewa,ƙonewa,disgust,0.531
valium,jarumi,jarumi,fear,0.312
fatigued,gajiya,gajiya,sadness,0.406
holidays,bukukuwa,bukukuwa,joy,0.721
therapeutic,warkewa,warkewa,trust,0.633
anarchist,anarchist,mai ra'ayin shafe gwamnati,anger,0.765
trustee,amintacce,amintacce,trust,0.734
blackmail,cin zarafi,cin zarafi,anger,0.55
credibility,dogara,dogara,trust,0.805
abomination,abin ƙyama,abin ƙyama,fear,0.844
suffocation,shaƙewa,shaƙewa,fear,0.875
playground,filin wasa,filin wasa,joy,0.391
savor,dandano,ɗanɗano,trust,0.508
intrusion,kutsawa,kutsawa,fear,0.484
honesty,gaskiya,gaskiya,trust,0.844
epitaph,epitaph,tunawa da mamaci,sadness,0.531
invasion,mamayewa,mamayewa,anger,0.594
chasm,chasm,bambanci,fear,0.375
guilty,mai laifi,mai laifi,anger,0.591
rainbows,bakan gizo,bakan gizo,joy,0.609
consecration,keɓewa,keɓewa,sadness,0.359
noxious,m,mai cutarwa,fear,0.547
reimbursement,sake biya,sake biya,trust,0.406
rascal,m,ɗan iska,disgust,0.258
happyheart,mai farin ciki,mai farin ciki,joy,0.818
rage,fushi,fushi,anger,0.911
embrace,rungumi,rungumi,surprise,0.312
fulfillment,cikawa,cikawa,joy,0.728
frenetic,m,mai sauri,anger,0.397
restriction,ƙuntatawa,ƙuntatawa,sadness,0.438
mystery,asiri,asiri,surprise,0.625
sanctify,tsarkake,tsarkake,joy,0.359
hymn,waƙar yabo,waƙar yabo,joy,0.375
evil,mugunta,mugunta,anger,0.706
chargeable,mai caji,mai caji,fear,0.312
senseless,m,rashin hankali,surprise,0.438
defy,sabawa,sabawa,sadness,0.312
